LOOKUP 109

LABEL 1410
DATA (15.25, -0.3418697657978949)
DATA (15.5, -0.33609876807015754)
DATA (15.75, 0.37398633641530615)
DATA (16.0, 0.07647385200181683)
DATA (16.25, 0.11523639740582503)
DATA (16.5, -0.26070214608961867)
DATA (16.75, 0.1781862739648264)
DATA (17.0, -0.11959868977204602)
DATA (17.25, 0.27955713805086935)
POLY (0.00011284899756951313, -0.004204826243810902, 0.026572847314614515, 0.22538863300147982)

LABEL 1470
DATA (0.25, 0.0)
DATA (0.5, -0.06826876418417029)
DATA (0.75, -0.04581268221710967)
DATA (1.0, -0.12743072760763996)
DATA (1.25, -0.09261662779075207)
DATA (1.5, -0.22475392451277978)
DATA (1.75, 0.12056079362736206)
DATA (2.0, -0.02096976241340994)
DATA (2.25, -0.14346810660048648)
DATA (2.5, -0.3739751358988239)
DATA (2.75, 0.0959355044341937)
DATA (3.0, 0.03496434868674463)
DATA (3.25, 0.06830894317881611)
DATA (3.5, 0.04522230717071505)
DATA (3.75, 0.019802671987384623)
DATA (4.0, 0.08892835937516833)
DATA (4.25, 0.05291744266913357)
DATA (4.5, 0.06046472928322055)
DATA (4.75, 0.24026158714740375)
DATA (5.0, 0.003170882845877302)
DATA (5.25, -0.04358801673870465)
DATA (5.5, -0.1681839433168777)
DATA (5.75, -0.08436333260166229)
DATA (6.0, 0.0541933134071612)
DATA (6.25, -0.26231801377828146)
DATA (6.5, -0.19386211325547067)
DATA (6.75, -0.07654167875777142)
DATA (7.0, -0.23947179915788772)
DATA (7.25, -0.2715023219520152)
DATA (7.5, -0.14846756860831392)
DATA (7.75, -0.02187225055627081)
DATA (8.0, -0.08757965627083646)
DATA (8.25, 0.09406309404336072)
DATA (8.5, -0.29915620263842674)
DATA (8.75, -0.2682999307401968)
DATA (9.0, -0.2223152782481301)
DATA (9.25, 0.024450535679314784)
DATA (9.5, -0.23452302051328255)
DATA (9.75, 0.060438608021652254)
DATA (10.0, -0.03551185303879965)
DATA (10.25, 0.02084079905127286)
DATA (10.5, 0.023429734813318254)
DATA (10.75, -0.11474849386911681)
DATA (11.0, -0.05973406267748077)
DATA (11.25, -0.15986531573150592)
DATA (11.5, -0.22141932926116856)
DATA (11.75, -0.10640330530043463)
DATA (12.0, -0.30470525146402183)
DATA (12.25, -0.055482867466237096)
DATA (12.5, -0.2438210598896611)
DATA (12.75, -0.42833636877096926)
DATA (13.0, -0.14862251687247016)
DATA (13.25, 0.02145770117790341)
DATA (13.5, -0.22366883705668975)
DATA (13.75, -0.12205846373980787)
DATA (14.0, -0.2588193512713434)
DATA (14.25, -0.387192073386945)
DATA (14.5, -0.1258466434800891)
DATA (14.75, -0.43409006372451964)
DATA (15.0, 0.01364862431678349)
DATA (15.25, -0.01672456700483443)
DATA (15.5, -0.2394566377771571)
DATA (15.75, 0.18068824558199972)
DATA (16.0, -0.356619506417511)
DATA (16.25, -0.123902360572252)
DATA (16.5, -0.3520070444844315)
DATA (16.75, -0.19487513564490905)
DATA (17.0, -0.2887634351653861)
DATA (17.25, -0.2848226567487086)
POLY (0.0001256437747618887, -0.0038175957833260906, 0.02004778570777785, -0.06577613962849316)

LABEL 1490
DATA (0.25, 0.0)
DATA (0.5, -0.09673070850221695)
DATA (0.75, -0.019315766998958747)
DATA (1.0, -0.508351692583642)
DATA (1.25, -0.36607124153873655)
DATA (1.5, -0.18310852237606634)
DATA (1.75, -0.12892788489463608)
DATA (2.0, -0.26309641821589275)
DATA (2.25, -0.3464262610722046)
DATA (2.5, -0.018075242724812406)
DATA (2.75, 0.15595352542069268)
DATA (3.0, -0.3617435203513503)
DATA (3.25, 0.37178661128322965)
DATA (3.5, -0.43904653914501046)
DATA (3.75, -0.2589349140130691)
DATA (4.0, 0.2346061898940185)
DATA (4.25, -0.4802662744086034)
DATA (4.5, -1.083249947697387)
DATA (4.75, 0.020912442386516912)
DATA (5.0, 0.01634580348837659)
DATA (5.25, -0.1836559262066709)
DATA (5.5, -1.493243453159014)
DATA (5.75, -0.21463000860154513)
DATA (6.0, -0.2342112536901475)
DATA (6.25, -0.757608153380469)
DATA (6.5, -0.6003397383003223)
DATA (6.75, -0.3621187028148778)
DATA (7.0, -0.18732312686927685)
DATA (7.25, -0.40099750592802175)
DATA (7.5, 0.25655539235561703)
DATA (7.75, -0.8723783808528668)
DATA (8.0, -0.5350217346955408)
DATA (8.25, -0.1836335424902338)
DATA (8.5, 0.16652129798128323)
DATA (8.75, -0.7995843674445455)
DATA (9.0, -0.48250848946440117)
DATA (9.25, 0.05883356302860152)
DATA (9.5, -0.774715950201416)
DATA (9.75, -0.17073322381462588)
DATA (10.0, -0.05541810667187497)
DATA (10.25, -0.4894493633458795)
DATA (10.5, -0.9201243948072934)
DATA (10.75, -0.19041829090442208)
DATA (11.0, -0.39184008171303436)
DATA (11.25, -0.4152813915874857)
